Time,Q1,Q2,T1,T2,TSP1,TSP2
2.701053504943847656e+02,4.882075699150576753e+01,0.000000000000000000e+00,4.995649999999999835e+01,2.578399999999999892e+01,5.000000000000000000e+01,2.094949999999999690e+01
2.716613552570343018e+02,4.883429423294082028e+01,0.000000000000000000e+00,4.995649999999999835e+01,2.578399999999999892e+01,5.000000000000000000e+01,2.094949999999999690e+01
2.729483594894409180e+02,4.884549116976275940e+01,0.000000000000000000e+00,4.995649999999999835e+01,2.546169999999999689e+01,5.000000000000000000e+01,2.094949999999999690e+01
2.743673768043518066e+02,4.885783662040248743e+01,0.000000000000000000e+00,4.995649999999999835e+01,2.578399999999999892e+01,5.000000000000000000e+01,2.094949999999999690e+01
2.754503500461578369e+02,4.886725848760620039e+01,0.000000000000000000e+00,4.995649999999999835e+01,2.578399999999999892e+01,5.000000000000000000e+01,2.094949999999999690e+01
2.764633512496948242e+02,4.887607159807697599e+01,0.000000000000000000e+00,4.995649999999999835e+01,2.546169999999999689e+01,5.000000000000000000e+01,2.094949999999999690e+01
2.775283501148223877e+02,4.888533708820358470e+01,0.000000000000000000e+00,4.995649999999999835e+01,2.546169999999999689e+01,5.000000000000000000e+01,2.094949999999999690e+01
2.793083462715148926e+02,4.890082305476681057e+01,0.000000000000000000e+00,4.995649999999999835e+01,2.578399999999999892e+01,5.000000000000000000e+01,2.094949999999999690e+01
2.804103543758392334e+02,4.891041052527443611e+01,0.000000000000000000e+00,4.995649999999999835e+01,2.578399999999999892e+01,5.000000000000000000e+01,2.094949999999999690e+01
2.828250663280487061e+02,4.893141851925865637e+01,0.000000000000000000e+00,4.995649999999999835e+01,2.546169999999999689e+01,5.000000000000000000e+01,2.094949999999999690e+01
2.838392086029052734e+02,4.894024155704990875e+01,0.000000000000000000e+00,4.995649999999999835e+01,2.578399999999999892e+01,5.000000000000000000e+01,2.094949999999999690e+01
2.848192179203033447e+02,4.894876763811127063e+01,0.000000000000000000e+00,4.995649999999999835e+01,2.578399999999999892e+01,5.000000000000000000e+01,2.094949999999999690e+01
2.858382601737976074e+02,4.895763330571666927e+01,0.000000000000000000e+00,4.995649999999999835e+01,2.578399999999999892e+01,5.000000000000000000e+01,2.094949999999999690e+01
2.868132410049438477e+02,4.896611563894764174e+01,0.000000000000000000e+00,4.995649999999999835e+01,2.578399999999999892e+01,5.000000000000000000e+01,2.094949999999999690e+01
2.879052448272705078e+02,4.897561607220188051e+01,0.000000000000000000e+00,4.995649999999999835e+01,2.578399999999999892e+01,5.000000000000000000e+01,2.094949999999999690e+01
2.898963320255279541e+02,4.899293853082672001e+01,0.000000000000000000e+00,4.995649999999999835e+01,2.578399999999999892e+01,5.000000000000000000e+01,2.094949999999999690e+01
2.909683320522308350e+02,4.900226493105903813e+01,0.000000000000000000e+00,4.995649999999999835e+01,2.578399999999999892e+01,5.000000000000000000e+01,2.094949999999999690e+01
2.932616901397705078e+02,4.902221714642063688e+01,0.000000000000000000e+00,4.995649999999999835e+01,2.578399999999999892e+01,5.000000000000000000e+01,2.094949999999999690e+01
2.952690346240997314e+02,4.903968104343429957e+01,0.000000000000000000e+00,4.995649999999999835e+01,2.578399999999999892e+01,5.000000000000000000e+01,2.094949999999999690e+01
2.971776475906372070e+02,4.905628597624317422e+01,0.000000000000000000e+00,4.995649999999999835e+01,2.578399999999999892e+01,5.000000000000000000e+01,2.094949999999999690e+01
2.992362897396087646e+02,4.907419616293923070e+01,0.000000000000000000e+00,4.995649999999999835e+01,2.578399999999999892e+01,5.000000000000000000e+01,2.094949999999999690e+01
3.008308746814727783e+02,4.908806905193344505e+01,0.000000000000000000e+00,4.995649999999999835e+01,2.578399999999999892e+01,5.000000000000000000e+01,2.094949999999999690e+01
3.022747101783752441e+02,4.910063042075649520e+01,0.000000000000000000e+00,4.995649999999999835e+01,2.578399999999999892e+01,5.000000000000000000e+01,2.094949999999999690e+01
3.041994798183441162e+02,4.911737591662422631e+01,0.000000000000000000e+00,4.995649999999999835e+01,2.578399999999999892e+01,5.000000000000000000e+01,2.094949999999999690e+01
3.064152579307556152e+02,4.913665318620221001e+01,0.000000000000000000e+00,4.995649999999999835e+01,2.546169999999999689e+01,5.000000000000000000e+01,2.094949999999999690e+01
3.081052484512329102e+02,4.915135610373036457e+01,0.000000000000000000e+00,4.995649999999999835e+01,2.578399999999999892e+01,5.000000000000000000e+01,2.094949999999999690e+01
3.091742300987243652e+02,4.916065624406353862e+01,0.000000000000000000e+00,4.995649999999999835e+01,2.578399999999999892e+01,5.000000000000000000e+01,2.094949999999999690e+01
3.107722294330596924e+02,4.917455883827225449e+01,0.000000000000000000e+00,4.995649999999999835e+01,2.578399999999999892e+01,5.000000000000000000e+01,2.094949999999999690e+01
3.117832283973693848e+02,4.918335452926174867e+01,0.000000000000000000e+00,4.995649999999999835e+01,2.578399999999999892e+01,5.000000000000000000e+01,2.094949999999999690e+01
3.128522324562072754e+02,4.919265486457364034e+01,0.000000000000000000e+00,4.995649999999999835e+01,2.578399999999999892e+01,5.000000000000000000e+01,2.094949999999999690e+01
3.145452318191528320e+02,4.920738395903126872e+01,0.000000000000000000e+00,4.995649999999999835e+01,2.578399999999999892e+01,5.000000000000000000e+01,2.094949999999999690e+01
3.156542303562164307e+02,4.921703224630372375e+01,0.000000000000000000e+00,4.995649999999999835e+01,2.578399999999999892e+01,5.000000000000000000e+01,2.094949999999999690e+01
